YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-04,WEEKDAY,11,TRAIN,TE22,1869,4049
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,246,1772
2024-04,WEEKDAY,0,TRAIN,NE17/PTC,517,3825
2024-04,WEEKDAY,13,TRAIN,BP12,3964,1617
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1239,789
2024-04,WEEKDAY,14,TRAIN,NS17/CC15,46373,40802
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,22412,19987
2024-04,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,7227,6197
2024-04,WEEKDAY,16,TRAIN,CC10/DT26,15344,13413
2024-04,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3534,1065
2024-04,WEEKDAY,6,TRAIN,DT28,17463,7519
2024-04,WEEKDAY,5,TRAIN,DT7,194,50
2024-04,WEEKENDS/HOLIDAY,5,TRAIN,DT7,18,3
2024-04,WEEKDAY,11,TRAIN,PW5,2202,1381
2024-04,WEEKENDS/HOLIDAY,11,TRAIN,PW5,2246,1041
2024-04,WEEKDAY,18,TRAIN,BP3,4932,14575
2024-04,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1797,2509
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,CC28,435,1705
2024-04,WEEKDAY,22,TRAIN,CC28,1037,3795
2024-04,WEEKDAY,13,TRAIN,SW6,4128,4337
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1775,1419
2024-04,WEEKDAY,17,TRAIN,NE12/CC13,73367,117100
2024-04,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,32862,39457
2024-04,WEEKDAY,8,TRAIN,NS21/DT11,115244,135493
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,17851,18872
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,291,1879
2024-04,WEEKDAY,0,TRAIN,NE16/STC,548,4039
2024-04,WEEKDAY,17,TRAIN,DT21,16337,9326
2024-04,WEEKENDS/HOLIDAY,17,TRAIN,DT21,4815,3293
2024-04,WEEKDAY,19,TRAIN,NE12/CC13,70427,141189
2024-04,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,27754,34052
2024-04,WEEKDAY,6,TRAIN,EW31,4960,11251
